dir, x_pos, y_pos, orientation(deg), radius, residual, left, adjust_amount, mot0_0, mot0_1, mot1_0, mot1_1, mot2_0, mot2_1
2, 252.629360, 240.365590, 8747.546621, 13.155508, 0.812979, False, 12.451111, 0, 114, 0, 24, 346, 146
2, 250.622410, 243.015400, 8352.174802, 6.459838, 1.908274, False, 13.423454, 0, 114, 0, 24, 360, 146
3, 268.575350, 250.482100, 5749.250457, 55.965294, 2.558883, False, 9.444702, 0, 114, 0, 24, 369, 146
1, 244.724030, 258.705840, 8298.277235, 23.304654, 1.597479, True, 11.390649, 0, 125, 0, 24, 369, 146
0, 237.553410, 247.201140, 6825.865083, 55.772959, 2.813375, False, 9.452686, 0, 125, 0, 24, 369, 136
4, 248.716380, 243.779300, 4337.843986, 14.238767, 0.909498, False, 12.318390, 0, 125, 0, 12, 369, 136
2, 253.104160, 248.155840, 4003.461233, 9.796662, 12.075587, False, 12.902409, 0, 125, 0, 12, 382, 136
2, 254.845090, 248.784360, 4574.522538, 5.065641, 0.675345, False, 13.667856, 0, 125, 0, 12, 396, 136
2, 264.238340, 258.241360, 1579.249873, 15.464334, 2.422908, False, 12.174825, 0, 125, 0, 12, 408, 136
4, 256.410710, 246.015380, -94.782689, 15.791478, 19.322988, False, 12.137617, 0, 125, 0, 0, 408, 136
2, 264.383910, 243.436080, -2416.915889, 11.848897, 4.623961, False, 12.619104, 0, 125, 0, 0, 421, 136
0, 280.700740, 254.602020, -6292.816663, 15.895422, 2.255221, False, 12.125890, 0, 125, 0, 0, 421, 124
2, 272.753630, 247.538770, -10016.408640, 8.810172, 1.084239, False, 13.048023, 0, 125, 0, 0, 434, 124
1, 242.758030, 225.601320, -10263.839318, 269.642648, 11.564927, False, 6.045596, 0, 119, 0, 0, 434, 124
4, 254.566330, 233.958620, -9733.627612, 109.722738, 13.030445, True, 7.901714, 0, 119, 0, 8, 434, 124
4, 268.263310, 241.021970, -10273.116078, 21.577772, 1.767553, False, 11.546214, 11, 119, 0, 8, 434, 124
1, 246.388520, 217.803830, -9292.498239, 160.154769, 6.215985, True, 7.082361, 11, 126, 0, 8, 434, 124
4, 251.159190, 221.730870, -9162.257483, 16.004298, 1.553052, False, 12.113655, 23, 126, 0, 8, 434, 124
