1,14,5,8,-13,6,4,-11,24,22,32,-5,-6,-1,-6,4,8,18,9,33,18,15,-12,11,-8,17,18,22,4,0,-3,23,20,3,-6,-3,179,-4,117
30,24,-4,-15,3,-14,28,60,3,2,27,13,25,52,10,16,35,17,36,-16,-22,7,-11,14,11,-3,-7,-5,-1,7,-3,15,9,9,19,-6,141,62,84
23,17,84,-26,30,4,15,65,109,7,-8,15,-21,32,1,10,31,3,27,-15,1,26,8,0,13,18,-7,20,19,4,-17,25,14,-17,14,14,158,-42,-141
-1,-4,29,24,-2,-20,-5,13,9,0,23,-17,4,6,13,36,10,-11,-4,20,35,22,22,-2,7,58,56,30,-3,7,-7,85,36,6,18,-1,213,-21,80
7,-36,6,12,4,-5,-11,-7,12,1,26,-7,0,-3,-1,-14,-20,4,28,-5,21,-14,12,10,34,-32,36,-6,11,-26,-26,-1,10,27,-3,7,158,42,11
32,-5,70,-9,37,-3,-5,-18,48,-5,14,-5,48,-9,79,18,-2,-13,50,-18,70,54,7,-15,21,-17,224,181,22,-6,12,1,157,64,-4,19,144,-80,14
23,-21,-2,12,20,2,-2,-17,27,-7,30,24,-22,21,11,-9,-3,-11,1,19,61,-5,9,-10,3,35,29,9,8,-33,-41,-11,45,-2,28,13,181,-5,49
6,33,30,-10,-9,0,-16,0,23,-7,17,-1,-2,32,29,9,20,0,15,-34,1,2,28,34,9,17,16,-12,5,34,18,3,14,-13,-10,4,142,63,84
17,-3,111,24,7,5,-7,75,120,-6,7,-2,0,24,43,-3,18,-8,4,-15,48,-4,22,-11,11,3,31,17,7,-5,13,-9,45,-4,13,-5,158,-41,-140
35,-29,-4,-7,-3,-4,-10,-3,13,16,-1,-1,5,-3,9,-7,10,15,14,9,38,6,0,35,-29,55,73,-10,-7,-24,1,4,45,10,12,-21,221,-21,87
-14,14,31,13,-14,-4,17,17,24,18,4,20,-27,-5,5,-14,11,15,20,-23,2,-3,3,9,39,20,27,0,-7,8,23,-1,-6,-5,3,-15,156,43,14
1,-23,35,34,29,23,16,2,23,-17,-5,1,0,0,20,3,6,-11,-14,-22,188,279,-22,-6,20,31,193,178,6,15,-3,-12,37,1,-4,12,145,-78,1
30,78,42,17,-7,8,24,33,12,3,16,-2,31,-9,20,12,-1,36,-35,47,17,-16,-5,20,15,-18,19,-7,14,21,5,5,46,7,-5,-1,188,-5,-157
7,21,14,-4,-10,-1,15,-10,21,-11,-4,10,20,27,-16,8,6,11,46,1,8,31,-3,33,16,-18,18,-23,-8,22,3,-8,8,-9,8,5,142,63,84
34,9,100,12,21,16,35,83,115,9,-1,-7,-10,40,10,-19,16,-3,44,0,15,-1,3,25,8,-6,33,-7,-17,21,9,43,20,29,19,2,159,-41,-139
63,11,14,-60,-1,-1,14,19,4,8,22,4,-15,9,61,-12,-3,25,30,-18,33,-3,-8,9,14,69,38,-1,-16,25,21,47,56,0,-13,-2,221,-20,88
34,8,21,-12,6,27,39,-24,32,-10,8,8,18,-8,38,-9,8,-2,-4,22,6,18,20,0,5,9,-25,-12,-6,9,32,8,33,-25,12,24,156,44,15
-13,-11,14,46,-23,-4,-7,20,15,17,23,8,4,18,41,21,19,-1,17,-8,140,287,-16,12,21,31,207,99,10,-6,-13,8,-4,30,8,6,145,-78,1
21,9,-12,23,13,1,19,8,17,28,10,22,16,25,18,9,-17,11,31,20,-38,18,-12,16,-9,11,-7,24,-11,17,3,-17,14,-14,12,2,142,63,84
-23,41,148,61,16,-4,12,44,74,1,18,11,5,42,5,-25,-27,-4,-23,20,3,7,-34,9,0,3,-30,-4,-3,7,5,12,-29,35,3,28,159,-40,-138
17,27,19,9,-4,-3,1,32,-3,18,-6,6,60,-23,55,-10,20,19,44,-12,16,-17,15,5,-7,77,59,-2,-18,0,-3,61,66,22,-4,20,221,-20,88
