@relation resultsNCexpanded-weka.filters.unsupervised.attribute.Remove-R37-144

@attribute 00 numeric
@attribute 01 numeric
@attribute 02 numeric
@attribute 03 numeric
@attribute 04 numeric
@attribute 05 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 30 numeric
@attribute 31 numeric
@attribute 32 numeric
@attribute 33 numeric
@attribute 34 numeric
@attribute 35 numeric
@attribute 40 numeric
@attribute 41 numeric
@attribute 42 numeric
@attribute 43 numeric
@attribute 44 numeric
@attribute 45 numeric
@attribute 50 numeric
@attribute 51 numeric
@attribute 52 numeric
@attribute 53 numeric
@attribute 54 numeric
@attribute 55 numeric
@attribute R numeric
@attribute B numeric
@attribute RBx numeric
@attribute RBy numeric
@attribute H numeric
@attribute Hx numeric
@attribute Hy numeric

@data
23,-18,18,3,3,6,11,2,19,-10,3,-15,1,2,-7,-7,14,16,26,17,3,12,30,-3,2,109,56,-12,13,21,12,85,32,-11,10,27,204,-21,73.107062,190.450407,81,0.776686,-0.629888
12,-23,11,13,-20,4,-17,49,-1,3,-7,7,2,2,-36,19,27,28,-26,55,-15,5,5,16,-3,36,-15,20,-11,18,-5,30,-11,-7,-8,-5,158,40,-101.560442,121.035022,6,0.96017,-0.279415
35,-31,25,-9,6,-1,0,41,21,1,21,-15,28,29,3,20,-9,3,-10,83,23,8,6,32,1,13,-13,-2,-4,24,28,18,-15,9,18,19,172,-3,9.001784,171.76428,48,-0.640144,-0.768255
5,-29,-3,-19,13,34,12,-21,7,26,-13,23,3,36,-17,12,31,19,-3,2,139,92,-32,10,-31,14,112,51,-1,16,-3,2,7,12,-1,-9,172,-67,158.326835,67.205754,-11,0.004426,0.99999
22,7,-25,46,-9,197,0,11,-30,28,3,39,24,-13,-41,-23,17,33,3,20,-35,0,-16,10,-5,50,-38,14,-2,21,19,19,-5,5,-8,72,170,111,-158.708673,-60.922551,-46,-0.432178,-0.901788
25,36,-9,5,-36,10,-30,16,9,14,8,0,40,59,-16,19,13,28,59,44,-29,8,7,19,34,6,-20,-25,11,46,38,0,2,-11,2,1,139,61,-121.572139,67.388537,86,-0.383698,-0.923458
24,17,102,5,-11,4,-12,104,123,24,0,-14,24,13,24,-10,3,-1,36,-7,34,5,17,8,0,27,-30,-9,0,14,0,27,25,-14,18,16,157,-44,109.061364,112.936349,-144,0.871147,0.491022
16,30,-34,2,-24,-7,20,40,-39,4,11,8,45,17,-41,41,-18,-5,33,20,-34,-16,-16,34,34,22,23,-12,-16,9,6,-9,19,-6,-15,-4,204,-21,73.107062,190.450407,81,0.776686,-0.629888
21,17,-24,-24,-14,-16,43,5,-44,11,11,15,1,21,-2,-5,-11,37,12,36,3,-42,-21,1,29,45,-21,4,-12,-4,31,2,-7,33,-6,8,158,39,-99.432622,122.789062,6,0.96017,-0.279415
13,18,28,33,-2,14,17,20,12,20,6,0,2,-5,3,32,31,2,-5,24,-5,-6,-4,11,28,18,144,320,-11,10,36,22,166,174,-4,6,140,-83,138.956461,17.061708,48,-0.640144,-0.768255
4,-18,-21,28,-12,10,-6,30,-26,3,2,18,19,4,-28,10,-22,5,31,82,26,-31,-6,13,-11,45,-4,3,10,6,-6,-16,-31,9,-4,8,172,-3,9.001784,171.76428,51,0.742154,0.670229
-13,16,-16,-26,-17,-11,14,8,3,0,1,5,61,69,-20,-34,4,5,33,33,-27,29,8,10,38,23,10,-7,-16,13,41,19,-36,-2,-8,-8,139,62,-122.729715,65.256547,86,-0.383698,-0.923458
6,-11,42,-14,1,3,-19,80,102,-40,-14,-20,-21,16,-15,-6,-10,-39,-32,10,-21,-9,-12,-26,11,3,-1,-5,15,-13,6,5,-4,-24,4,-28,157,-43,107.073743,114.822531,-143,0.057503,0.998345
-25,-9,11,-27,-2,21,-8,6,-16,-51,4,21,-10,1,-34,-24,7,9,-2,-2,-6,-9,-5,0,-3,21,44,-21,5,-9,-7,-7,-3,-26,0,23,212,-20,72.50827,199.214836,81,0.776686,-0.629888
33,25,7,-33,-13,8,34,45,-1,21,4,33,13,20,13,18,-1,13,35,15,3,14,-6,18,14,-9,-28,19,11,12,27,2,-39,-17,1,14,158,42,-105.722636,117.416882,11,0.004426,-0.99999
12,-2,25,13,-14,15,10,2,23,43,26,24,27,2,23,35,13,15,20,21,-2,48,8,16,34,3,199,234,-6,28,0,3,150,20,-7,4,143,-80,140.827509,24.831689,17,-0.275163,-0.961397
